# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "3.2.3.dev30+g1c324336c.d20260112" 
Date_of_run______________________________________________________________ (date)_________________________ "30/01/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "17:58" 
User_____________________________________________________________________ (username)_____________________      "clair" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________ "v3.3.0-10-gd962004f" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________ "3920-optimum-solutions-comparison-notebook" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/clair/development/PROCESS/examples/data/large_tokamak_varied_min_net_electric_IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl014)____________________ 5.00000000000000000e-01 
c_tf_turn________________________________________________________________ (itvar015)_____________________ 7.74110142214712250e+04 
c_tf_turn_(final_value/initial_value)____________________________________ (xcm015)_______________________ 1.19093868033032657e+00 
c_tf_turn_(range_normalised)_____________________________________________ (nitvar015)____________________ 4.96440568858849129e-01 
c_tf_turn_(upper_bound)__________________________________________________ (boundu015)____________________ 9.00000000000000000e+04 
c_tf_turn_(lower_bound)__________________________________________________ (boundl015)____________________ 6.50000000000000000e+04 
f_nd_alpha_electron______________________________________________________ (itvar016)_____________________ 7.77457703777333503e-02 
f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm016)_______________________ 7.77457703777333475e-01 
f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar016)____________________ 5.54915407554666951e-01 
f_nd_alpha_electron_(upper_bound)________________________________________ (boundu016)____________________ 1.00000000000000006e-01 
f_nd_alpha_electron_(lower_bound)________________________________________ (boundl016)____________________ 5.00000000000000028e-02 
f_a_cs_turn_steel________________________________________________________ (itvar017)_____________________ 7.03205959891790355e-01 
f_a_cs_turn_steel_(final_value/initial_value)____________________________ (xcm017)_______________________ 8.79007449864737889e-01 
f_a_cs_turn_steel_(range_normalised)_____________________________________ (nitvar017)____________________ 7.39943055734236355e-01 
f_a_cs_turn_steel_(upper_bound)__________________________________________ (boundu017)____________________ 9.50000000000000067e-01 
f_a_cs_turn_steel_(lower_bound)__________________________________________ (boundl017)____________________ 1.00000000000000002e-03 
f_nd_impurity_electrons(13)______________________________________________ (itvar018)_____________________ 3.71796657282688159e-04 
f_nd_impurity_electrons(13)_(final_value/initial_value)__________________ (xcm018)_______________________ 9.78412256007074044e-01 
f_nd_impurity_electrons(13)_(range_normalised)___________________________ (nitvar018)____________________ 3.71787029069717209e-02 
f_nd_impurity_electrons(13)_(upper_bound)________________________________ (boundu018)____________________ 1.00000000000000002e-02 
f_nd_impurity_electrons(13)_(lower_bound)________________________________ (boundl018)____________________ 1.00000000000000002e-08 
dr_tf_wp_with_insulation_________________________________________________ (itvar019)_____________________ 5.64464098791146895e-01 
dr_tf_wp_with_insulation_(final_value/initial_value)_____________________ (xcm019)_______________________ 1.12892819758229379e+00 
dr_tf_wp_with_insulation_(range_normalised)______________________________ (nitvar019)____________________ 1.02790061744466796e-01 
dr_tf_wp_with_insulation_(upper_bound)___________________________________ (boundu019)____________________ 2.00000000000000000e+00 
dr_tf_wp_with_insulation_(lower_bound)___________________________________ (boundl019)____________________ 4.00000000000000022e-01 
Beta_consistency__________________normalised_residue_____________________ (eq_con001)____________________ 7.22082837967263913e-10 
Beta_consistency__________________residual_______________________________ (res_eq_con001)________________ -2.48421779116980870e-11 
Beta_consistency__________________constraint_value_______________________ (val_eq_con001)________________ 3.44035014037578218e-02 
Beta_consistency__________________units__________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 1.19017684596656181e-10 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -1.81262752866640470e-11 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 1.52299007918447221e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m3' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ 5.29709609509154689e-12 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ -4.23767687621424531e-11 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 8.00000000030857450e+00 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Injection_power_upper_limit_______normalised_residue_____________________ (ineq_con030)__________________ 6.19590468318115928e-01 
Injection_power_upper_limit_______physical_value_________________________ (ineq_value_con030)____________ 7.60819063363768180e+01 
Injection_power_upper_limit_______symbol_________________________________ (ineq_symbol_con030)___________         '<=' 
Injection_power_upper_limit_______units__________________________________ (ineq_units_con030)____________         'MW' 
Injection_power_upper_limit_______physical_bound_________________________ (ineq_bound_con030)____________ 2.00000000000000000e+02 
L-H_power_threshold_limit_________normalised_residue_____________________ (ineq_con015)__________________ 1.15697782907629554e+00 
L-H_power_threshold_limit_________physical_value_________________________ (ineq_value_con015)____________ 1.67905013331002181e+02 
L-H_power_threshold_limit_________symbol_________________________________ (ineq_symbol_con015)___________         '>=' 
L-H_power_threshold_limit_________units__________________________________ (ineq_units_con015)____________         'MW' 
L-H_power_threshold_limit_________physical_bound_________________________ (ineq_bound_con015)____________ 7.78427163541619933e+01 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 2.21879648583112044e-05 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 2.00004437592971669e+02 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 2.00000000000000000e+02 
Beta_upper_limit__________________normalised_residue_____________________ (ineq_con024)__________________ 3.43922589902092013e-01 
Beta_upper_limit__________________physical_value_________________________ (ineq_value_con024)____________ 2.99658140333915260e-02 
Beta_upper_limit__________________symbol_________________________________ (ineq_symbol_con024)___________         '<=' 
Beta_upper_limit__________________units__________________________________ (ineq_units_con024)____________           '' 
Beta_upper_limit__________________physical_bound_________________________ (ineq_bound_con024)____________ 4.56742048608557577e-02 
Peak_toroidal_field_upper_limit___normalised_residue_____________________ (ineq_con025)__________________ 2.28447185819992238e-01 
Peak_toroidal_field_upper_limit___physical_value_________________________ (ineq_value_con025)____________ 1.32693663660729655e+01 
Peak_toroidal_field_upper_limit___symbol_________________________________ (ineq_symbol_con025)___________         '<=' 
Peak_toroidal_field_upper_limit___units__________________________________ (ineq_units_con025)____________          'T' 
Peak_toroidal_field_upper_limit___physical_bound_________________________ (ineq_bound_con025)____________ 1.71982606014798947e+01 
CS_coil_EOF_current_density_limit_normalised_residue_____________________ (ineq_con026)__________________ 1.96100825186201311e-01 
CS_coil_EOF_current_density_limit_physical_value_________________________ (ineq_value_con026)____________ 2.95141081339354105e+07 
CS_coil_EOF_current_density_limit_symbol_________________________________ (ineq_symbol_con026)___________         '<=' 
CS_coil_EOF_current_density_limit_units__________________________________ (ineq_units_con026)____________       'A/m2' 
CS_coil_EOF_current_density_limit_physical_bound_________________________ (ineq_bound_con026)____________ 3.67136937797846943e+07 
CS_coil_BOP_current_density_limit_normalised_residue_____________________ (ineq_con027)__________________ 6.97029333393703876e-02 
CS_coil_BOP_current_density_limit_physical_value_________________________ (ineq_value_con027)____________ 2.73053717739865072e+07 
CS_coil_BOP_current_density_limit_symbol_________________________________ (ineq_symbol_con027)___________         '<=' 
CS_coil_BOP_current_density_limit_units__________________________________ (ineq_units_con027)____________       'A/m2' 
CS_coil_BOP_current_density_limit_physical_bound_________________________ (ineq_bound_con027)____________ 2.93512392466216907e+07 
I_op_/_I_critical_(TF_coil)_______normalised_residue_____________________ (ineq_con033)__________________ 7.29511584223185849e-05 
I_op_/_I_critical_(TF_coil)_______physical_value_________________________ (ineq_value_con033)____________ 2.90881273725663945e+07 
I_op_/_I_critical_(TF_coil)_______symbol_________________________________ (ineq_symbol_con033)___________         '<=' 
I_op_/_I_critical_(TF_coil)_______units__________________________________ (ineq_units_con033)____________       'A/m2' 
I_op_/_I_critical_(TF_coil)_______physical_bound_________________________ (ineq_bound_con033)____________ 2.90902495399691314e+07 
Dump_voltage_upper_limit__________normalised_residue_____________________ (ineq_con034)__________________ 2.22811612550682048e-01 
Dump_voltage_upper_limit__________physical_value_________________________ (ineq_value_con034)____________ 7.77188387449317908e+00 
Dump_voltage_upper_limit__________symbol_________________________________ (ineq_symbol_con034)___________         '<=' 
Dump_voltage_upper_limit__________units__________________________________ (ineq_units_con034)____________          'V' 
